admin@lpmt.com,6735862e-8be9-4ac8-ae3a-d85b60e95925,240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9,ADMIN,true,true
nsabitre@gmail.com,336ce0ee-257b-4010-91f1-fb17d166d3a2,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,PATIENT,true,false
ian@gmail.com,baa37c85-6984-4dbc-80cb-15666277e520,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,PATIENT,true,false
Eric.Blevins@gmail.com,a5ce0043-c595-4b88-8038-a57a8ff24e2b,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
James.Moore@gmail.com,7e51443f-969a-4bdf-b472-5bb7e9163da6,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Jeffery.Waters@gmail.com,a82d3268-ec9a-48db-8a95-4d35c3b50dc6,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Robert.Martinez@yahoo.com,a346259f-cd8b-4e3e-a58a-360e20b93ab5,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Amy.Johnson@gmail.com,0ee1262c-cf3a-47ca-936a-21c226549856,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Angela.Haney@gmail.com,4f94115e-1d92-4c92-95ca-3f1068cdc113,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Stacey.Vargas@yahoo.com,859a4b17-c03f-4280-ad18-91202351f87f,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Kevin.Brown@yahoo.com,761fe715-fd87-476f-ad27-eea1b323e5ca,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Nathaniel.Brown@yahoo.com,ddbeda3c-6359-4a84-8928-a2f5f0bda596,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Gregory.Johnson@gmail.com,7d8bcb78-2440-489d-84c8-fda7513c67ee,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Matthew.Cook@yahoo.com,847f7611-2abd-4cee-8171-f3137c15c6b7,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
James.Robinson@hotmail.com,de12bd28-dfc1-42e1-be74-401ad60cb7fb,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
